Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-03-29,1.2764189635009777,1.284516731651731,1.2446286265290853,1.252125859260559,461356000,0.0,0.0
2005-03-30,1.2617234769418877,1.283616542816162,1.254225342884965,1.283616542816162,394959600,0.0,0.0
2005-03-31,1.2731196249672947,1.275219046426307,1.2473276337099002,1.2497267723083496,636134800,0.0,0.0
2005-04-01,1.2623231615785173,1.2650229186137079,1.2167373200694886,1.2263339757919312,641284000,0.0,0.0
2005-04-04,1.22933296188153,1.2389296122305615,1.2044402329148414,1.23233163356781,580014400,0.0,0.0
2005-04-05,1.236231539365891,1.2668219165156445,1.2323325125984135,1.2563250064849854,556239600,0.0,0.0
2005-04-06,1.2716206577446174,1.283917068150284,1.2641225242294243,1.2695212364196777,414825600,0.0,0.0
2005-04-07,1.2695211875505623,1.3121082458032494,1.2671220491976785,1.3064097166061401,506987600,0.0,0.0
2005-04-08,1.3106084972761594,1.3331019966597215,1.3058101203242984,1.311808466911316,649950000,0.0,0.0
2005-04-11,1.324104834755285,1.3271035071963675,1.2569248618020703,1.257224678993225,821662800,0.0,0.0
2005-04-12,1.2743195401865908,1.2953132516999792,1.2599237092832487,1.279417634010315,981061200,0.0,0.0
2005-04-13,1.2881160992816232,1.2893152683492268,1.211338646537026,1.230832576751709,1371946800,0.0,0.0
2005-04-14,1.1639523231561866,1.1864459264439025,1.1048701008862953,1.1174663305282593,2753192400,0.0,0.0
2005-04-15,1.0982723950232254,1.1171666924641264,1.0580844607165785,1.0601838827133179,1728087200,0.0,0.0
2005-04-18,1.0496864829519423,1.0886752298761242,1.0196956550945382,1.0682810544967651,1327177600,0.0,0.0
2005-04-19,1.0976721043379318,1.1228645526064376,1.0757781451714903,1.1123677492141724,1081642800,0.0,0.0
2005-04-20,1.1294628432066058,1.131861981646991,1.0628824969843818,1.0649818181991577,945131600,0.0,0.0
2005-04-21,1.0916739373585804,1.1159670382650806,1.0766785730002677,1.1150668859481812,759592400,0.0,0.0
2005-04-22,1.1048696810047338,1.1096688577904958,1.0466876334093793,1.0646817684173584,839129200,0.0,0.0
2005-04-25,1.094373101262398,1.1102687210725573,1.082976942517352,1.109068751335144,746460400,0.0,0.0
2005-04-26,1.1030702252581333,1.1249641886140573,1.0832764838932076,1.0853759050369263,810507600,0.0,0.0
2005-04-27,1.0763784447614424,1.0904736527296863,1.0649813905283325,1.07817804813385,613888800,0.0,0.0
2005-04-28,1.0883745423418179,1.0898743288983745,1.0568839298431063,1.0658818483352661,575106000,0.0,0.0
2005-04-29,1.084176121122753,1.0865760606190855,1.0562846077137182,1.081477165222168,671630400,0.0,0.0
2005-05-02,1.085975068412251,1.0991717256974096,1.0802774423869141,1.0925730466842651,465920000,0.0,0.0
2005-05-03,1.091674176986803,1.1018712672429478,1.0805777350636034,1.0859756469726562,496739600,0.0,0.0
